Cohort,Section Y1,Midterm Y1,Final Y1,Teacher Midterm Y1,Teacher Final Y1,Section Y2,Exam Y2
3.0,2.0,56.5,82,3.0,3.0,2.0,84
3.0,1.0,81,82.5,2.0,2.0,1.0,83
3.0,1.0,72,86.5,2.0,2.0,1.0,82
3.0,1.0,79,95.5,2.0,2.0,1.0,82
3.0,1.0,65,76.3,2.0,2.0,1.0,82
3.0,1.0,50,32,2.0,2.0,1.0,81
3.0,1.0,84,67,2.0,2.0,1.0,80
3.0,2.0,80.5,81.5,3.0,3.0,2.0,79
3.0,1.0,70,86,2.0,2.0,1.0,78
3.0,1.0,53.5,79,2.0,2.0,1.0,78
3.0,1.0,65.5,67,2.0,2.0,1.0,78
3.0,1.0,71,82.5,2.0,2.0,1.0,77
3.0,1.0,66.5,83,2.0,2.0,1.0,77
3.0,1.0,72,64,2.0,2.0,1.0,75
3.0,1.0,73,88,2.0,2.0,1.0,74
3.0,1.0,82.5,83.5,2.0,2.0,1.0,73
3.0,1.0,46,59.5,2.0,2.0,1.0,73
3.0,3.0,83.5,90,1.0,1.0,3.0,73
3.0,3.0,40.5,74.5,1.0,1.0,3.0,73
3.0,1.0,52,83,2.0,2.0,1.0,72
3.0,1.0,55.5,64.5,2.0,2.0,1.0,71
3.0,2.0,61.5,44.5,3.0,3.0,2.0,70
3.0,2.0,19,6.5,3.0,3.0,2.0,70
3.0,3.0,54.5,21,1.0,1.0,3.0,70
3.0,2.0,56.5,59,3.0,3.0,2.0,69
3.0,2.0,39.5,70.5,3.0,3.0,2.0,69
3.0,3.0,54,68.5,1.0,1.0,3.0,69
3.0,3.0,39,56,1.0,1.0,3.0,69
3.0,1.0,43,57,2.0,2.0,1.0,68
3.0,1.0,53.5,50,2.0,2.0,1.0,67
3.0,2.0,55,67,3.0,3.0,2.0,67
3.0,3.0,47,52,1.0,1.0,3.0,67
3.0,1.0,51,74,2.0,2.0,1.0,66
3.0,2.0,54.5,39,3.0,3.0,2.0,65
3.0,2.0,51,37.5,3.0,3.0,2.0,65
3.0,3.0,30.5,27.5,1.0,1.0,3.0,65
3.0,3.0,73.5,83,1.0,1.0,3.0,65
3.0,1.0,44,41.5,2.0,2.0,1.0,64
3.0,2.0,39.5,59,3.0,3.0,2.0,64
3.0,1.0,72.5,71.5,2.0,2.0,1.0,63
3.0,1.0,46.5,46.5,2.0,2.0,1.0,63
3.0,1.0,42.5,56.5,2.0,2.0,1.0,63
3.0,2.0,46,13.5,3.0,3.0,2.0,63
3.0,2.0,47,55.5,3.0,3.0,2.0,63
3.0,3.0,61.5,61,1.0,1.0,3.0,63
3.0,1.0,43,69.5,2.0,2.0,1.0,62
3.0,1.0,34.5,35.5,2.0,2.0,1.0,62
3.0,1.0,37,43,2.0,2.0,1.0,61
3.0,1.0,43,35,2.0,2.0,1.0,61
3.0,3.0,34.5,28,1.0,1.0,3.0,61
3.0,3.0,45,51,1.0,1.0,3.0,61
3.0,2.0,61.5,75,3.0,3.0,2.0,60
3.0,2.0,48,38,3.0,3.0,2.0,60
3.0,3.0,36.5,51,1.0,1.0,3.0,60
3.0,3.0,56,47.5,1.0,1.0,3.0,58
3.0,1.0,53,70,2.0,2.0,1.0,57
3.0,2.0,42,61,3.0,3.0,2.0,57
3.0,2.0,43.5,28.5,3.0,3.0,2.0,57
3.0,3.0,42.5,50.5,1.0,1.0,3.0,57
3.0,1.0,57.5,67.5,2.0,2.0,1.0,56
3.0,3.0,24.5,16,1.0,1.0,3.0,56
3.0,3.0,37,60,1.0,1.0,3.0,56
3.0,2.0,46.5,35.5,3.0,3.0,2.0,55
3.0,2.0,48.5,38,3.0,3.0,2.0,55
3.0,2.0,49,58,3.0,3.0,2.0,55
3.0,3.0,55,53.5,1.0,1.0,3.0,55
3.0,3.0,49,13.5,1.0,1.0,3.0,55
3.0,3.0,32.5,32.5,1.0,1.0,3.0,54
3.0,1.0,53,36,2.0,2.0,1.0,53
3.0,2.0,57,53.5,3.0,3.0,2.0,53
3.0,1.0,68,70.5,2.0,2.0,1.0,52
3.0,1.0,58,69.5,2.0,2.0,1.0,52
3.0,1.0,38,50,2.0,2.0,1.0,52
3.0,2.0,30.5,24.5,3.0,3.0,2.0,52
3.0,2.0,40,29,3.0,3.0,2.0,52
3.0,3.0,35.5,40,1.0,1.0,3.0,52
3.0,3.0,26,33.5,1.0,1.0,3.0,52
3.0,3.0,0,Absent,1.0,1.0,3.0,52
3.0,1.0,28.5,27,2.0,2.0,1.0,51
3.0,2.0,52,68,3.0,3.0,2.0,51
3.0,3.0,49.5,26.5,1.0,1.0,3.0,51
3.0,3.0,24,32.5,1.0,1.0,3.0,51
3.0,2.0,35.5,55.5,3.0,3.0,2.0,50
3.0,2.0,20,8.5,3.0,3.0,2.0,50
3.0,3.0,46.5,58,1.0,1.0,3.0,50
3.0,3.0,25.5,19,1.0,1.0,3.0,50
3.0,1.0,56.5,46.5,2.0,2.0,1.0,49
3.0,2.0,29,43,3.0,3.0,2.0,49
3.0,2.0,40.5,24.5,3.0,3.0,2.0,49
3.0,2.0,25.5,32,3.0,3.0,2.0,49
3.0,2.0,31.5,47.5,3.0,3.0,2.0,49
3.0,1.0,27,Absent,2.0,2.0,1.0,48
3.0,2.0,39.5,50.5,3.0,3.0,2.0,48
3.0,2.0,47.5,55,3.0,3.0,2.0,48
3.0,2.0,19.5,23.5,3.0,3.0,2.0,48
3.0,3.0,34,21,1.0,1.0,3.0,48
3.0,1.0,46.5,70,2.0,2.0,1.0,47
3.0,2.0,34,40,3.0,3.0,2.0,47
3.0,2.0,42.5,50,3.0,3.0,2.0,47
3.0,2.0,26,27.5,3.0,3.0,2.0,47
3.0,3.0,24.5,15,1.0,1.0,3.0,47
3.0,1.0,53.5,43.5,2.0,2.0,1.0,45
3.0,1.0,26,27.5,2.0,2.0,1.0,45
3.0,1.0,26.5,32,2.0,2.0,1.0,44
3.0,2.0,33.5,23,3.0,3.0,2.0,44
